City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2020-10-29 21:01:55,-46.19,168.86,62.01,82,100,1.01
1,Kodiak,US,2020-10-29 21:03:19,57.79,-152.41,37.4,64,1,2.57
2,Pavilosta,LV,2020-10-29 21:04:27,56.89,21.19,50.0,93,100,4.7
3,Nuuk,GL,2020-10-29 21:00:49,64.18,-51.72,23.0,73,40,5.82
4,Nargana,PA,2020-10-29 21:04:28,9.44,-78.59,83.95,74,96,7.27
5,Neiafu,TO,2020-10-29 21:04:28,-18.65,-173.98,75.2,64,40,5.82
6,Hermanus,ZA,2020-10-29 21:02:09,-34.42,19.23,46.99,87,1,8.34
7,Dingle,PH,2020-10-29 21:02:10,11.0,122.67,76.12,89,95,4.81
8,Whitehorse,CA,2020-10-29 21:00:04,60.72,-135.05,25.0,88,99,0.6
9,Ushuaia,AR,2020-10-29 21:00:19,-54.8,-68.3,46.4,70,40,27.51
10,Dangriga,BZ,2020-10-29 21:04:29,16.97,-88.23,87.8,70,20,8.05
11,Lavrentiya,RU,2020-10-29 21:01:58,65.58,-171.0,23.32,90,0,7.7
12,Punta Arenas,CL,2020-10-29 20:59:03,-53.15,-70.92,53.6,46,40,33.33
13,Bredasdorp,ZA,2020-10-29 21:01:59,-34.53,20.04,53.6,58,5,8.05
14,Salta,AR,2020-10-29 21:04:30,-24.79,-65.41,53.6,81,90,2.06
15,Port Alfred,ZA,2020-10-29 21:02:04,-33.59,26.89,62.28,73,100,18.01
16,Norman Wells,CA,2020-10-29 21:03:13,65.28,-126.83,15.26,91,49,3.42
17,Aswan,EG,2020-10-29 21:00:42,24.09,32.91,78.84,25,0,8.61
18,Kaitangata,NZ,2020-10-29 21:03:23,-46.28,169.85,57.99,82,100,1.99
19,Catalina Foothills,US,2020-10-29 21:04:32,32.3,-110.92,82.99,11,1,13.87
20,Avarua,CK,2020-10-29 21:02:00,-21.21,-159.78,77.0,73,100,9.17
21,Ponta Do Sol,PT,2020-10-29 21:01:53,32.67,-17.1,69.8,73,20,11.41
22,Cape Town,ZA,2020-10-29 21:00:05,-33.93,18.42,53.01,66,0,2.24
23,Sisimiut,GL,2020-10-29 21:02:23,66.94,-53.67,21.52,94,100,5.64
24,Taoudenni,ML,2020-10-29 21:04:33,22.68,-3.98,81.88,15,0,16.67
25,Saint-Philippe,RE,2020-10-29 21:01:59,-21.36,55.77,71.6,60,75,23.04
26,Talnakh,RU,2020-10-29 21:04:33,69.49,88.4,4.35,85,63,7.63
27,Hobart,AU,2020-10-29 21:00:03,-42.88,147.33,57.0,82,75,5.82
28,Hamilton,US,2020-10-29 21:03:04,39.18,-84.53,48.2,93,90,10.29
29,Georgetown,MY,2020-10-29 21:01:16,5.41,100.34,78.8,88,20,4.79
30,Pisco,PE,2020-10-29 21:02:44,-13.7,-76.22,71.6,64,0,14.99
31,Hurricane,US,2020-10-29 21:02:00,37.18,-113.29,73.0,17,0,3.91
32,Okahandja,NA,2020-10-29 21:04:34,-21.98,16.92,69.01,60,39,5.01
33,Tapaz,PH,2020-10-29 21:04:34,11.26,122.54,76.26,87,72,3.87
34,Shingu,JP,2020-10-29 21:03:36,33.73,135.98,50.81,72,38,6.06
35,Okhotsk,RU,2020-10-29 21:04:35,59.38,143.3,27.18,97,100,8.81
36,Hithadhoo,MV,2020-10-29 21:03:25,-0.6,73.08,82.9,75,18,11.81
37,Bethel,US,2020-10-29 21:02:57,41.37,-73.41,45.0,96,100,3.0
38,Jamestown,US,2020-10-29 21:01:56,42.1,-79.24,45.0,100,90,8.05
39,Severo-Kurilsk,RU,2020-10-29 21:03:52,50.68,156.12,41.38,81,76,6.44
40,Fatsa,TR,2020-10-29 21:04:36,41.03,37.5,60.8,100,0,4.7
41,Ribeira Grande,PT,2020-10-29 21:02:07,38.52,-28.7,68.0,94,75,19.46
42,Vila Do Maio,CV,2020-10-29 21:04:37,15.13,-23.22,80.6,78,0,16.11
43,Beringovskiy,RU,2020-10-29 21:02:40,63.05,179.32,24.31,85,0,7.56
44,Pont-Rouge,CA,2020-10-29 21:04:37,46.76,-71.7,37.0,60,83,5.53
45,Busselton,AU,2020-10-29 20:58:09,-33.65,115.33,57.99,47,1,13.06
46,Bluff,NZ,2020-10-29 21:02:03,-46.6,168.33,62.01,82,100,1.01
47,Olafsvik,IS,2020-10-29 21:03:30,64.89,-23.71,43.83,82,99,16.91
48,Emerald,AU,2020-10-29 21:03:24,-23.53,148.17,60.8,63,0,8.05
49,Ostersund,SE,2020-10-29 21:04:38,63.18,14.64,37.99,100,53,8.05
50,Ajdabiya,LY,2020-10-29 21:04:39,30.76,20.23,68.79,70,1,7.16
51,Torva,EE,2020-10-29 21:04:39,58.0,25.93,48.99,93,100,2.42
52,Carnarvon,AU,2020-10-29 21:02:52,-24.87,113.63,69.8,100,90,4.7
53,Atuona,PF,2020-10-29 21:02:06,-9.8,-139.03,78.17,69,78,18.05
54,Souillac,MU,2020-10-29 21:01:59,-20.52,57.52,69.01,67,8,8.01
55,Faya,SA,2020-10-29 21:04:11,18.39,42.45,60.8,30,0,5.82
56,Tukrah,LY,2020-10-29 21:04:40,32.53,20.58,69.49,67,4,9.84
57,Thompson,CA,2020-10-29 21:00:18,55.74,-97.86,26.91,97,100,10.38
58,Syracuse,IT,2020-10-29 21:04:40,37.09,15.28,60.8,77,0,6.93
59,Springbok,ZA,2020-10-29 21:01:52,-29.66,17.89,45.91,90,12,5.84
60,Waterfoot,GB,2020-10-29 21:04:41,53.69,-2.25,55.0,97,98,8.99
61,Husavik,IS,2020-10-29 21:03:19,66.04,-17.34,42.8,81,90,5.82
62,Isangel,VU,2020-10-29 21:03:04,-19.55,169.27,77.7,74,5,15.82
63,Merauke,ID,2020-10-29 21:04:42,-8.47,140.33,79.34,79,27,3.91
64,Geraldton,AU,2020-10-29 21:02:06,-28.77,114.6,64.4,82,53,3.36
65,Lahaina,US,2020-10-29 21:01:05,20.88,-156.68,75.2,88,75,3.36
66,Esperance,AU,2020-10-29 21:03:32,-33.87,121.9,48.2,87,0,10.29
67,Nelson Bay,AU,2020-10-29 21:03:07,-32.72,152.15,57.99,100,75,5.82
68,Porto Murtinho,BR,2020-10-29 21:04:42,-21.7,-57.88,78.57,75,53,5.59
69,Sangar,RU,2020-10-29 21:03:07,63.92,127.47,-12.77,89,12,1.19
70,Gizo,SB,2020-10-29 21:02:48,-8.1,156.84,82.81,73,95,8.1
71,Guane,CU,2020-10-29 21:04:43,22.2,-84.09,83.64,76,20,1.12
72,Clyde River,CA,2020-10-29 21:03:08,70.47,-68.59,19.87,95,100,11.99
73,Karratha,AU,2020-10-29 21:04:43,-20.74,116.85,70.12,86,51,10.94
